Gene,DlpsB_1,DlpsB_2,DlpsB_3,DpbpG_1,DpbpG_2,DpbpG_3,WT_1,WT_2,WT_3
gene-ACX60_RS00745,8,3,20,6,0,18,10,16,5
gene-ACX60_RS00750,116,154,140,150,140,168,146,94,142
gene-ACX60_RS00755,22,33,60,23,21,31,34,37,32
gene-ACX60_RS00760,917,1510,1578,1323,1310,1423,794,1034,1079
gene-ACX60_RS00765,3838,6065,5485,5825,6344,5570,3327,3780,4533
gene-ACX60_RS00770,5214,7638,7796,7802,8210,8462,5298,6166,6478
gene-ACX60_RS00775,3609,5453,5363,4428,4889,4997,3168,3502,4180
gene-ACX60_RS00780,2593,4174,3840,3884,4722,4231,2993,3523,3506
gene-ACX60_RS00785,7527,11441,10365,9366,10241,10201,7095,7871,8699
gene-ACX60_RS00790,13588,22651,22312,20465,22432,22141,13541,15580,16984
gene-ACX60_RS00795,2797,4065,4551,3159,2821,3996,3111,3300,3847
gene-ACX60_RS00800,1423,2206,2465,2276,2139,2447,1651,1631,1884
gene-ACX60_RS00805,4849,6957,7680,6708,5769,7938,5101,5309,6359
gene-ACX60_RS00810,48485,75047,74040,85105,90835,90714,74292,79751,84325
gene-ACX60_RS00815,40156,59748,55094,76975,80091,81352,74899,80628,77320
gene-ACX60_RS00820,118,177,187,118,116,146,139,119,186
gene-ACX60_RS00825,1661,2381,2636,2627,1805,2677,2995,2726,3516
gene-ACX60_RS00830,278,438,510,456,401,450,514,412,539
gene-ACX60_RS00835,132,208,261,141,141,171,211,202,303
gene-ACX60_RS00840,90,110,128,102,68,81,72,77,120
gene-ACX60_RS00845,21864,34068,32767,31849,31960,35261,24480,29140,33116
gene-ACX60_RS00850,6541,11002,10536,9227,10181,10037,5534,6936,7735
gene-ACX60_RS00855,4270,6425,5887,5628,6592,5681,3505,4385,4694
gene-ACX60_RS00860,2528,3799,3514,3240,3299,3224,1987,2235,2695
gene-ACX60_RS00865,24185,41935,44835,44161,43391,44471,17496,21524,23698
gene-ACX60_RS00870,3979,6175,6487,5085,4866,5954,4881,5709,6091
gene-ACX60_RS00875,850,1362,1248,1191,1265,1282,1001,1126,1267
gene-ACX60_RS00880,1447,2167,2112,1949,1977,2131,1642,1776,2098
gene-ACX60_RS00885,1778,3024,2871,2548,2731,2661,1678,1882,2204
gene-ACX60_RS00890,495,693,884,701,572,860,645,617,614
gene-ACX60_RS00895,918,1285,1440,1449,1311,1547,1231,1152,1241
gene-ACX60_RS00900,323,463,542,484,440,451,386,371,560
gene-ACX60_RS00905,1242,1994,1860,1014,1176,974,819,869,1079
gene-ACX60_RS00910,28,52,74,30,24,63,34,34,54
gene-ACX60_RS00915,8,18,26,18,11,30,24,30,14
gene-ACX60_RS00920,163,215,168,202,196,167,176,161,181
gene-ACX60_RS00925,115,181,211,171,208,164,123,134,144
gene-ACX60_RS00930,1661,2511,2333,2049,1904,2212,2050,2314,2687
gene-ACX60_RS00935,455,692,744,785,837,739,502,618,632
gene-ACX60_RS00940,2786,3892,3481,3359,3689,3048,3703,4153,4708
gene-ACX60_RS00945,50,93,112,52,72,73,53,92,60
gene-ACX60_RS00950,815,1524,1224,835,858,780,810,1089,1030
gene-ACX60_RS00955,78,79,104,66,57,72,56,66,96
gene-ACX60_RS00960,10059,14670,14899,14800,15430,15467,10983,12870,14043
gene-ACX60_RS00965,51247,73729,81246,83612,69204,96015,92071,104721,100999
gene-ACX60_RS00970,224,255,330,196,154,267,314,264,355
gene-ACX60_RS00975,9672,15024,12952,10044,10541,9856,7017,8239,8937
gene-ACX60_RS00980,298,375,419,346,415,382,258,306,411
gene-ACX60_RS00985,760,1046,941,719,856,748,570,684,666
gene-ACX60_RS00990,52,70,75,48,37,60,50,35,62
gene-ACX60_RS00995,43,72,116,62,51,72,55,44,65
gene-ACX60_RS01000,208,356,360,235,254,325,272,245,326
gene-ACX60_RS01005,1539,2393,2115,2507,2621,2857,2205,2488,2334
gene-ACX60_RS01010,2546,3578,3332,3323,3390,3204,3271,3715,4596
gene-ACX60_RS01015,3398,5904,6538,4265,3811,5197,3667,3947,4952
gene-ACX60_RS01020,212,272,348,164,179,184,370,435,425
gene-ACX60_RS01025,688,931,1033,468,428,549,1212,1648,1450
gene-ACX60_RS01030,319,397,412,336,316,285,345,413,469
gene-ACX60_RS01035,448,696,583,406,398,612,582,554,715
gene-ACX60_RS01040,729,1084,1072,902,835,938,768,869,1062
gene-ACX60_RS01045,758,887,1009,606,467,1122,740,919,1026
gene-ACX60_RS01050,3956,5514,4857,5449,5960,5798,3572,4412,4887
gene-ACX60_RS01055,453,676,671,457,534,536,465,405,629
gene-ACX60_RS01060,623,1040,1214,722,704,821,541,774,877
gene-ACX60_RS01065,171,280,239,237,278,236,221,247,267
gene-ACX60_RS01070,3275,4809,4342,4762,5369,4935,5967,6978,7010
gene-ACX60_RS01075,399,633,544,547,573,600,826,768,955
gene-ACX60_RS01080,159,286,290,242,292,261,329,265,353
gene-ACX60_RS01085,180,256,314,212,135,418,489,502,596
gene-ACX60_RS19405,0,1,0,0,1,0,0,0,1
gene-ACX60_RS01090,324,410,551,543,450,655,644,626,760
gene-ACX60_RS01095,797,1044,1034,1570,1411,1575,1248,1198,1532
gene-ACX60_RS01100,152,264,257,182,183,173,193,178,195
gene-ACX60_RS01105,96,147,160,133,113,123,98,99,159
gene-ACX60_RS01110,450,648,788,417,389,468,380,366,544
gene-ACX60_RS01115,74,190,188,80,89,109,85,86,145
gene-ACX60_RS01120,241,308,254,268,286,243,256,287,315
gene-ACX60_RS01125,278,389,444,285,264,312,389,352,455
gene-ACX60_RS01130,59,76,103,40,61,58,84,36,61
gene-ACX60_RS01135,0,2,7,1,6,4,4,12,8
gene-ACX60_RS01140,25,42,34,17,10,48,33,25,26
gene-ACX60_RS01145,7,14,20,14,4,16,22,33,24
gene-ACX60_RS01150,36,53,76,60,21,73,94,49,86
gene-ACX60_RS01155,30,43,106,34,38,53,28,16,36
gene-ACX60_RS01160,354,615,577,503,407,534,370,426,558
gene-ACX60_RS01165,231,409,544,369,237,431,404,363,445
