Gene,DlpsB_1,DlpsB_2,DlpsB_3,DpbpG_1,DpbpG_2,DpbpG_3,WT_1,WT_2,WT_3
gene-ACX60_RS20070,48,68,93,45,37,65,132,99,152
gene-ACX60_RS08765,60,112,145,61,61,90,85,108,107
gene-ACX60_RS08770,43,53,88,17,35,55,81,67,66
gene-ACX60_RS08775,47,137,208,88,67,92,125,115,118
gene-ACX60_RS08780,80,114,142,57,52,85,87,105,94
gene-ACX60_RS08785,119,248,311,143,131,217,261,219,265
gene-ACX60_RS19510,2,10,12,4,6,15,8,9,10
gene-ACX60_RS08795,85,149,265,130,97,199,166,200,164
gene-ACX60_RS08800,82,96,212,77,57,112,100,89,101
gene-ACX60_RS08805,231,310,433,194,156,221,207,202,249
gene-ACX60_RS08810,55,99,80,60,51,60,40,58,98
gene-ACX60_RS08815,20,21,40,22,14,27,42,15,37
gene-ACX60_RS08820,267,316,467,213,204,254,221,222,246
gene-ACX60_RS08825,68,99,133,70,78,80,73,64,109
gene-ACX60_RS08830,42,78,51,53,58,62,53,69,61
gene-ACX60_RS08835,102,146,180,113,91,118,117,99,129
gene-ACX60_RS08840,30,41,32,19,10,38,16,18,42
gene-ACX60_RS08845,29,36,40,27,24,42,34,24,39
gene-ACX60_RS08850,353,441,538,243,266,278,266,242,325
gene-ACX60_RS08855,478,673,583,394,382,381,449,533,610
gene-ACX60_RS08860,76,146,187,87,82,126,149,116,148
gene-ACX60_RS08865,250,401,459,274,308,281,202,291,331
gene-ACX60_RS08870,302,438,514,257,349,282,258,294,305
gene-ACX60_RS08875,42,36,28,18,12,25,11,16,16
gene-ACX60_RS08880,46,70,86,80,76,102,60,70,93
gene-ACX60_RS08885,18,30,24,20,12,28,14,18,36
gene-ACX60_RS08890,54,64,55,49,51,81,64,90,87
gene-ACX60_RS08895,52,50,63,35,36,45,59,41,62
gene-ACX60_RS08900,104,158,186,99,104,128,126,122,167
gene-ACX60_RS08905,74,109,165,85,62,117,95,72,88
gene-ACX60_RS20075,3,2,6,6,6,4,4,4,6
gene-ACX60_RS08910,66,84,90,86,82,116,193,156,161
gene-ACX60_RS08915,70,125,101,115,121,116,164,192,174
gene-ACX60_RS08920,104,136,122,131,122,141,161,159,160
gene-ACX60_RS08925,33,74,31,53,49,41,75,61,76
gene-ACX60_RS08930,40,32,76,32,27,45,42,45,29
gene-ACX60_RS08935,20,27,24,13,20,33,31,20,16
gene-ACX60_RS08940,255,385,358,304,233,247,460,517,635
gene-ACX60_RS08945,735,1184,1130,688,737,776,921,1075,1441
gene-ACX60_RS08950,411,622,551,494,445,453,483,523,725
gene-ACX60_RS08955,206,322,346,291,318,410,369,445,390
gene-ACX60_RS20010,11,9,30,25,20,24,19,33,42
gene-ACX60_RS08960,51,90,116,58,63,94,123,114,100
gene-ACX60_RS08965,0,5,7,1,2,4,6,4,0
gene-ACX60_RS08970,14,12,26,4,4,11,12,14,20
gene-ACX60_RS08975,36,48,60,22,16,18,48,22,46
gene-ACX60_RS08980,54,154,132,90,92,64,65,74,82
gene-ACX60_RS08985,78,129,140,61,58,99,164,126,220
gene-ACX60_RS08990,135,175,194,145,145,153,246,308,370
gene-ACX60_RS08995,66,97,187,66,39,83,144,115,117
gene-ACX60_RS09000,256,402,383,199,213,246,336,410,408
gene-ACX60_RS09005,153,216,248,128,114,136,163,118,200
gene-ACX60_RS09010,137,175,222,133,85,152,156,111,186
gene-ACX60_RS09015,44,58,67,45,44,59,64,63,70
gene-ACX60_RS09020,37,49,72,36,33,60,57,62,75
gene-ACX60_RS09025,54,55,81,44,45,63,55,39,55
gene-ACX60_RS09030,72,89,115,99,86,115,98,106,120
gene-ACX60_RS09035,3,9,5,10,10,17,7,15,9
gene-ACX60_RS09040,9,7,19,8,6,4,5,17,14
gene-ACX60_RS09045,43,79,121,66,85,94,155,132,140
gene-ACX60_RS09050,777,1210,1328,1091,1032,1214,1386,1319,1456
gene-ACX60_RS09055,0,2,0,0,2,0,0,0,0
gene-ACX60_RS09060,39,62,82,36,42,59,58,40,83
gene-ACX60_RS19865,1,3,5,3,12,3,7,4,4
gene-ACX60_RS09065,200,269,401,373,288,473,227,337,291
gene-ACX60_RS09070,675,1015,1138,905,918,1092,673,843,834
gene-ACX60_RS09075,8,16,49,22,7,30,28,25,52
gene-ACX60_RS09080,20,46,51,48,43,33,50,69,67
gene-ACX60_RS09085,91,128,152,105,111,147,180,172,199
gene-ACX60_RS09090,49,61,61,49,41,38,56,44,59
gene-ACX60_RS09095,22,68,60,33,44,48,34,43,57
gene-ACX60_RS09100,46,79,111,55,45,84,53,53,65
gene-ACX60_RS09105,35,50,17,15,14,27,29,27,36
gene-ACX60_RS09110,10,6,9,15,8,7,11,9,26
gene-ACX60_RS09115,51,118,102,90,71,88,115,112,135
gene-ACX60_RS09120,64,106,132,62,89,98,102,76,114
gene-ACX60_RS09125,70,117,136,87,41,89,72,91,104
gene-ACX60_RS09130,230,287,383,171,226,245,203,199,302
gene-ACX60_RS09135,58,118,144,109,118,116,93,84,114
gene-ACX60_RS09140,8,11,28,4,16,14,23,19,8
gene-ACX60_RS09145,20,17,17,22,12,20,10,33,22
gene-ACX60_RS09150,23,35,41,25,27,19,29,26,27
gene-ACX60_RS09155,26,41,53,22,34,30,42,36,27
gene-ACX60_RS09160,9,12,19,22,11,9,10,18,3
gene-ACX60_RS09165,2,12,20,10,4,12,7,5,7
gene-ACX60_RS09170,36,32,37,16,36,27,22,5,28
gene-ACX60_RS09175,6,10,21,6,16,14,10,8,4
gene-ACX60_RS09180,12,12,5,6,17,8,14,11,18
gene-ACX60_RS09185,34,80,56,44,32,54,50,56,46
gene-ACX60_RS09190,78,114,174,100,60,100,112,106,134
gene-ACX60_RS09195,100,213,205,122,140,177,103,156,146
gene-ACX60_RS09200,214,333,335,218,238,278,245,252,292
gene-ACX60_RS09205,45,52,86,39,36,32,36,26,48
gene-ACX60_RS09210,22,68,90,45,43,75,44,71,80
gene-ACX60_RS20015,5,3,5,7,1,2,11,3,5
gene-ACX60_RS20020,3,4,14,4,3,4,3,5,12
gene-ACX60_RS09220,84,120,197,64,36,110,98,116,138
gene-ACX60_RS19810,24,30,48,33,16,33,96,83,64
gene-ACX60_RS09230,224,292,344,247,206,259,260,301,308
gene-ACX60_RS09235,56,88,107,38,48,45,52,35,47
gene-ACX60_RS09240,138,229,215,131,135,142,117,132,155
gene-ACX60_RS09245,127,199,280,129,118,155,151,158,199
gene-ACX60_RS09250,956,1723,1511,860,930,985,708,793,940
gene-ACX60_RS09255,538,673,907,657,512,809,709,692,869
gene-ACX60_RS09260,71,140,225,159,127,161,128,172,144
gene-ACX60_RS09265,153,261,387,324,262,340,282,265,277
gene-ACX60_RS09270,156,230,416,304,248,339,229,187,281
gene-ACX60_RS09275,2063,3067,3099,3156,4364,3317,3100,3468,2970
gene-ACX60_RS09280,454,785,852,765,638,930,649,666,722
gene-ACX60_RS09285,189,306,242,131,107,154,139,101,123
gene-ACX60_RS09290,13,19,23,10,14,4,11,8,18
gene-ACX60_RS09295,88,137,166,113,104,112,100,109,119
gene-ACX60_RS09300,65,163,174,96,83,79,65,68,97
gene-ACX60_RS09305,92,121,110,120,74,107,64,72,79
gene-ACX60_RS09310,87,111,133,112,75,98,78,75,59
gene-ACX60_RS09315,17,17,16,11,11,9,11,25,10
gene-ACX60_RS09320,90,147,136,108,104,97,80,108,110
gene-ACX60_RS09325,45,36,42,33,46,29,29,36,50
gene-ACX60_RS09330,101,198,199,118,107,128,176,179,183
gene-ACX60_RS09335,110,190,218,109,109,151,139,154,192
gene-ACX60_RS19145,70,93,123,100,102,127,63,85,97
gene-ACX60_RS09345,299,419,495,332,389,318,292,321,363
gene-ACX60_RS09350,13,50,69,28,41,45,32,57,39
gene-ACX60_RS09355,42,40,48,54,28,47,48,43,50
gene-ACX60_RS09360,156,194,150,157,180,164,152,164,199
gene-ACX60_RS09365,138,292,218,213,226,216,138,235,230
gene-ACX60_RS19870,38,58,81,63,52,47,63,66,73
gene-ACX60_RS09370,18,31,58,28,34,29,34,34,20
gene-ACX60_RS09375,181,413,421,332,211,319,264,278,275
gene-ACX60_RS09380,170,271,328,248,185,240,273,197,206
gene-ACX60_RS09385,162,199,246,109,180,132,100,106,140
gene-ACX60_RS09390,28,36,57,32,22,29,27,16,22
gene-ACX60_RS09395,202,333,305,216,214,227,164,176,270
gene-ACX60_RS09400,351,380,452,304,320,367,256,287,375
gene-ACX60_RS09405,64,96,108,74,81,64,31,36,37
gene-ACX60_RS09410,50,84,56,44,70,22,28,30,37
gene-ACX60_RS09415,38,60,65,56,52,30,25,38,54
gene-ACX60_RS09420,123,173,179,151,132,160,115,92,149
gene-ACX60_RS09425,450,764,762,619,492,583,627,646,930
gene-ACX60_RS09430,155,215,275,223,188,270,299,236,332
gene-ACX60_RS09435,1795,2698,2643,2288,2339,2226,1708,2052,2132
gene-ACX60_RS09440,1083,1760,2033,1441,1346,1790,1394,1460,1473
gene-ACX60_RS09445,815,1459,1256,898,912,1017,756,781,954
gene-ACX60_RS09450,1113,1634,1647,1172,1161,1358,928,1057,1045
gene-ACX60_RS09455,2552,4116,3901,3472,3488,3567,2541,3124,3429
gene-ACX60_RS09460,692,1215,1276,912,868,1096,759,835,917
gene-ACX60_RS09465,711,977,1346,991,953,1294,893,838,994
gene-ACX60_RS19520,197,302,410,236,190,302,384,263,445
gene-ACX60_RS09475,134,197,301,184,124,186,178,175,280
gene-ACX60_RS09480,0,0,0,4,0,2,10,2,0
gene-ACX60_RS09485,862,1262,1510,1188,1145,1444,1377,1474,1563
gene-ACX60_RS09490,582,1096,1139,1197,1019,1190,966,953,1033
gene-ACX60_RS09495,705,1421,1565,1186,1170,1453,952,1110,1182
gene-ACX60_RS09500,14,24,42,53,23,33,31,26,18
gene-ACX60_RS09505,1494,2528,2753,1935,1632,2297,1734,1908,1997
gene-ACX60_RS09510,100,161,231,147,130,142,135,126,164
gene-ACX60_RS09515,21,24,27,6,6,18,25,22,24
gene-ACX60_RS09520,15,22,37,16,18,16,28,27,19
gene-ACX60_RS09525,65,103,143,52,41,58,77,89,147
gene-ACX60_RS09530,39,103,93,64,78,66,58,44,71
gene-ACX60_RS09535,56,76,81,56,55,44,39,28,47
gene-ACX60_RS09540,1472,2306,1992,1395,1461,1390,1150,1184,1269
gene-ACX60_RS09545,2828,4132,5057,3080,2571,3563,2954,3053,3434
gene-ACX60_RS09550,208,380,436,307,197,376,200,214,283
gene-ACX60_RS09555,865,1428,1426,1225,1195,1389,605,640,694
gene-ACX60_RS09560,90,122,166,108,80,160,107,123,148
gene-ACX60_RS09565,1099,1598,1709,1888,1763,2012,1422,1769,1774
gene-ACX60_RS09570,83,118,141,119,103,96,125,132,160
gene-ACX60_RS09575,137,158,167,122,100,108,139,209,255
gene-ACX60_RS09580,100,154,216,126,114,109,147,170,193
gene-ACX60_RS09585,53,82,83,42,44,24,56,67,75
gene-ACX60_RS09590,240,301,432,264,221,222,327,343,391
gene-ACX60_RS09595,636,1019,1169,828,695,828,712,791,975
gene-ACX60_RS09600,580,870,1102,907,669,894,863,685,850
gene-ACX60_RS09605,18,31,53,41,35,40,43,57,50
gene-ACX60_RS09610,178,258,210,269,243,289,243,293,242
gene-ACX60_RS09615,10,16,19,8,12,31,18,9,26
gene-ACX60_RS09620,3222,5180,3952,3517,4104,3403,2812,3024,3512
gene-ACX60_RS09625,4903,7318,7111,5656,5512,6068,5116,6061,5588
gene-ACX60_RS09630,52,101,94,84,90,81,88,79,91
gene-ACX60_RS09635,150,242,283,216,227,262,163,238,221
gene-ACX60_RS09640,397,529,577,355,322,381,368,414,527
gene-ACX60_RS09645,1158,1728,1832,1213,1106,1345,1060,1257,1406
gene-ACX60_RS09650,236,367,459,283,269,291,278,315,317
gene-ACX60_RS09655,79,112,144,114,113,141,101,110,119
gene-ACX60_RS09660,1097,1533,2028,1252,1223,1547,774,788,923
gene-ACX60_RS09665,24,32,60,20,28,40,20,12,34
gene-ACX60_RS09670,10,8,11,9,9,10,11,19,16
gene-ACX60_RS09675,92,128,166,85,92,129,113,113,154
gene-ACX60_RS09680,14,26,10,4,6,17,10,20,12
gene-ACX60_RS09685,631,906,856,808,878,811,899,903,983
gene-ACX60_RS09690,40,86,85,55,62,70,44,65,74
gene-ACX60_RS09695,95,110,122,99,91,130,82,90,161
gene-ACX60_RS09700,290,457,610,404,366,442,421,399,522
gene-ACX60_RS09705,339,524,651,427,310,492,416,418,526
gene-ACX60_RS09710,139,140,135,133,125,119,146,116,171
gene-ACX60_RS09715,64,63,112,80,73,119,83,75,88
gene-ACX60_RS09720,42,100,100,81,82,72,54,64,89
gene-ACX60_RS09725,20,26,62,22,4,30,14,35,24
gene-ACX60_RS09730,195,347,414,218,175,231,231,246,259
gene-ACX60_RS09735,2264,3618,3213,2836,3028,2894,2494,2610,2905
gene-ACX60_RS09740,119,138,174,111,75,116,77,97,81
gene-ACX60_RS09745,193,262,210,131,143,163,126,135,204
gene-ACX60_RS09750,141,160,197,132,118,154,115,101,183
gene-ACX60_RS09755,153,226,283,173,96,177,155,196,258
gene-ACX60_RS09760,5122,7712,8694,7102,6530,8395,7899,8367,8669
gene-ACX60_RS09765,350,634,915,445,390,617,505,446,499
gene-ACX60_RS09770,47,91,143,66,41,105,83,79,56
gene-ACX60_RS09775,334,489,746,398,341,519,590,647,666
gene-ACX60_RS09780,2109,2913,2995,2694,2937,2300,3006,3633,3808
gene-ACX60_RS09785,3404,5032,5613,4403,4070,4767,6145,7062,6788
gene-ACX60_RS09790,2694,4403,4444,2654,2529,2937,3397,3854,3465
gene-ACX60_RS09795,794,1251,1329,915,886,880,1165,1239,1267
gene-ACX60_RS09800,749,1223,1596,1018,753,1208,1383,1332,1371
gene-ACX60_RS09805,5877,9206,8825,7149,6700,7474,8274,8939,9458
gene-ACX60_RS09810,415,603,667,418,422,483,483,420,629
gene-ACX60_RS09815,765,1174,1372,1111,795,1182,1612,1424,1512
gene-ACX60_RS09820,1281,2001,2210,1744,1502,2084,2187,2064,2219
gene-ACX60_RS09825,2063,3120,3298,2380,2598,2357,2259,2538,2800
gene-ACX60_RS09830,67,112,210,74,67,118,70,94,95
gene-ACX60_RS09835,240,395,536,274,246,349,289,336,391
gene-ACX60_RS09840,84,130,158,119,106,118,105,98,121
gene-ACX60_RS09845,173,244,221,200,154,206,132,150,168
gene-ACX60_RS09850,43,82,107,24,38,54,39,58,62
gene-ACX60_RS09855,175,396,895,349,305,675,329,265,345
gene-ACX60_RS09860,393,707,676,512,454,610,555,540,754
gene-ACX60_RS09865,229,492,467,358,292,429,389,462,440
gene-ACX60_RS09870,34,41,77,32,31,54,44,48,58
gene-ACX60_RS09875,199,311,324,226,190,284,248,276,245
gene-ACX60_RS09880,878,1417,1542,765,719,919,725,790,1033
gene-ACX60_RS09885,1014,1364,1414,738,787,816,747,733,947
gene-ACX60_RS09890,818,1237,1328,640,637,707,627,628,847
gene-ACX60_RS09895,1428,2138,2494,1026,1072,1191,940,1132,1453
gene-ACX60_RS09900,1035,1592,1553,789,714,889,702,768,949
gene-ACX60_RS09905,557,967,1145,491,472,520,472,529,644
gene-ACX60_RS19525,1,1,6,4,0,2,1,0,1
gene-ACX60_RS09910,227,322,373,229,251,283,287,269,329
gene-ACX60_RS09915,123,180,186,120,88,110,92,116,133
gene-ACX60_RS09920,240,317,391,227,255,258,241,229,307
gene-ACX60_RS09925,46,103,64,33,64,98,48,69,70
gene-ACX60_RS09930,67,103,157,74,49,95,86,93,83
gene-ACX60_RS09935,8,31,51,14,14,8,24,23,15
gene-ACX60_RS09940,1702,3042,3576,2044,2075,2770,2669,3238,2751
gene-ACX60_RS09945,1,9,6,4,3,6,12,4,4
gene-ACX60_RS09950,11,8,18,1,5,5,7,4,4
gene-ACX60_RS09955,15,22,30,24,38,14,24,12,35
gene-ACX60_RS09960,0,2,0,0,0,3,0,0,2
gene-ACX60_RS09965,38,44,56,42,25,41,69,33,63
gene-ACX60_RS09970,60,90,142,80,100,124,58,82,106
gene-ACX60_RS09975,202,326,387,195,181,246,337,272,296
gene-ACX60_RS19875,13,13,10,9,20,16,12,7,13
gene-ACX60_RS09985,81,132,173,92,83,113,125,137,137
gene-ACX60_RS09990,71,104,99,68,64,93,51,90,80
gene-ACX60_RS09995,253,411,555,324,290,446,458,415,487
gene-ACX60_RS10000,5,8,20,10,13,10,6,9,7
gene-ACX60_RS19880,1,2,3,0,2,11,6,4,0
gene-ACX60_RS10010,16,21,32,17,11,23,29,32,22
gene-ACX60_RS10015,31,35,23,26,2,34,15,26,32
gene-ACX60_RS10020,7,21,16,12,11,12,11,6,9
gene-ACX60_RS10025,16,19,18,8,16,18,12,7,19
gene-ACX60_RS10030,6,9,8,2,5,16,14,17,7
gene-ACX60_RS10035,1,3,4,2,0,5,0,0,0
gene-ACX60_RS19735,0,0,4,0,4,2,1,3,1
gene-ACX60_RS10040,26,55,54,31,38,27,39,32,34
gene-ACX60_RS10045,11,16,10,8,4,12,13,8,12
gene-ACX60_RS10050,32,50,54,68,33,24,50,41,67
gene-ACX60_RS10055,14,37,22,18,22,26,33,28,17
gene-ACX60_RS10060,4,0,6,2,6,4,2,0,2
gene-ACX60_RS10065,14,14,10,10,0,2,10,6,12
gene-ACX60_RS10070,2,6,2,1,2,0,0,6,0
gene-ACX60_RS19155,4,3,0,0,1,2,2,2,3
gene-ACX60_RS10075,4,0,0,1,0,0,1,0,0
gene-ACX60_RS10080,0,0,0,0,0,0,2,0,0
gene-ACX60_RS10085,4,8,11,6,5,2,2,4,10
gene-ACX60_RS10090,0,0,0,4,1,6,2,6,4
gene-ACX60_RS10095,19,72,82,58,40,76,58,45,43
gene-ACX60_RS20080,25,18,10,13,23,8,13,16,15
gene-ACX60_RS19740,3,4,3,2,4,3,3,7,4
gene-ACX60_RS10100,15,39,36,13,30,16,11,13,19
gene-ACX60_RS10105,131,213,284,127,96,174,139,102,100
gene-ACX60_RS10110,18,16,25,14,16,28,30,16,14
gene-ACX60_RS19745,0,0,0,0,0,0,0,2,0
gene-ACX60_RS10115,14,8,11,0,4,16,6,12,11
gene-ACX60_RS10120,0,6,1,0,0,1,0,2,0
gene-ACX60_RS10125,9,14,15,14,16,10,14,8,10
gene-ACX60_RS10130,2,14,13,18,9,8,4,10,8
gene-ACX60_RS10135,0,3,6,4,2,2,4,2,0
gene-ACX60_RS10145,138,253,322,317,259,316,212,219,244
gene-ACX60_RS10150,8,12,18,10,4,11,12,10,7
gene-ACX60_RS10155,2,0,4,2,1,2,8,2,2
gene-ACX60_RS19775,47,58,103,54,50,75,81,55,70
gene-ACX60_RS10170,91,96,126,87,78,99,116,103,122
gene-ACX60_RS10175,26,40,43,16,20,38,25,25,50
gene-ACX60_RS10180,30,47,56,27,42,52,25,26,55
gene-ACX60_RS10185,18,7,7,4,5,7,7,3,7
gene-ACX60_RS10190,9,3,13,4,17,10,2,9,3
gene-ACX60_RS10195,62,128,108,70,83,106,99,106,117
gene-ACX60_RS10200,2722,4075,4122,3474,3511,4024,4318,4774,4795
gene-ACX60_RS10205,161,227,241,170,131,217,279,333,369
gene-ACX60_RS10210,125,146,239,169,144,208,165,175,234
gene-ACX60_RS10215,285,418,514,354,321,486,559,615,599
gene-ACX60_RS10220,373,650,895,534,483,723,656,687,634
gene-ACX60_RS10225,1315,1873,2286,2093,1954,2486,1701,1752,1853
gene-ACX60_RS10230,3996,6178,6630,7080,6826,7556,4230,4924,5615
gene-ACX60_RS10235,151549,209871,218870,215816,200595,239519,220119,259249,256274
gene-ACX60_RS10240,10121,14512,16315,14103,13775,14859,10283,12456,13392
gene-ACX60_RS10245,146,187,356,204,195,275,201,179,244
gene-ACX60_RS10250,242,559,552,439,339,512,388,400,442
gene-ACX60_RS10255,5103,8378,8160,6528,7521,7097,4658,5191,6292
gene-ACX60_RS10260,1250,1845,2579,1825,1758,2037,1535,1469,1885
gene-ACX60_RS10265,444,767,987,863,613,930,1028,987,977
gene-ACX60_RS10270,83,133,161,97,94,151,131,179,137
gene-ACX60_RS10275,66,70,161,78,47,124,154,94,136
gene-ACX60_RS10280,58,66,54,50,62,60,60,67,63
gene-ACX60_RS10285,51,83,78,87,97,124,115,98,115
gene-ACX60_RS10290,423,637,632,493,522,626,516,402,662
gene-ACX60_RS10295,621,1082,1321,858,741,1034,937,870,1021
gene-ACX60_RS10300,28,54,99,37,26,57,41,45,56
gene-ACX60_RS10305,309,489,472,375,409,510,383,396,396
gene-ACX60_RS10310,720,1093,1100,1096,1115,1127,776,938,992
gene-ACX60_RS10315,794,1210,1235,1174,1113,1367,974,1003,1331
gene-ACX60_RS10320,3764,5781,5962,5536,5971,6480,5139,5669,6047
gene-ACX60_RS10325,487,780,744,933,875,1025,887,1052,1153
gene-ACX60_RS10330,401,659,634,747,758,659,746,757,974
gene-ACX60_RS10335,863,1488,1659,1349,1304,1694,1555,1675,1715
gene-ACX60_RS10340,906,1448,1875,1303,1156,1700,1540,1739,1754
gene-ACX60_RS10345,741,1064,1456,1039,1082,1393,1154,1160,1351
gene-ACX60_RS10350,654,1008,1178,790,920,1000,880,842,951
gene-ACX60_RS10355,1093,1590,1912,1547,1397,1708,1549,1545,1562
gene-ACX60_RS10360,5156,7417,7919,7349,7535,8010,5540,5775,6816
gene-ACX60_RS10365,2095,2956,3450,3442,3387,3897,2401,2766,2789
gene-ACX60_RS10370,16402,24696,24042,27658,29096,29581,20585,24784,26318
gene-ACX60_RS10375,76,170,133,120,170,113,75,89,89
gene-ACX60_RS10380,2594,3993,4727,3906,3734,4888,3819,4349,4149
gene-ACX60_RS10385,605,794,935,593,611,739,791,684,771
gene-ACX60_RS10390,628,798,1121,700,605,836,661,705,775
gene-ACX60_RS10395,1434,2343,2944,2058,1640,2661,2032,2244,2190
gene-ACX60_RS10400,253,431,679,326,256,472,465,436,523
gene-ACX60_RS10405,32,67,127,47,51,64,52,43,69
gene-ACX60_RS10410,4205,5801,7133,5413,4721,6753,7094,7394,7006
gene-ACX60_RS10415,1015,1387,1557,1395,1396,1578,1559,1844,1689
gene-ACX60_RS10420,271,444,597,442,325,490,382,453,488
gene-ACX60_RS10425,797,1135,1206,1003,938,1137,1152,973,1254
gene-ACX60_RS10430,389,594,478,454,491,490,348,430,509
gene-ACX60_RS10435,654,907,988,619,692,814,728,761,881
gene-ACX60_RS10440,175,313,338,213,220,256,168,188,191
gene-ACX60_RS10445,96,221,200,137,155,138,136,124,196
gene-ACX60_RS10450,6668,9092,9870,7092,6868,8594,8260,8133,9740
gene-ACX60_RS10455,18,36,24,24,30,36,44,34,40
gene-ACX60_RS10460,14479,18678,24727,14647,11720,16647,14254,13208,18219
gene-ACX60_RS10465,68,64,105,87,50,76,103,84,93
gene-ACX60_RS10470,747,1149,1302,1122,1132,1381,962,911,1002
gene-ACX60_RS10475,82,123,216,146,134,187,148,135,137
gene-ACX60_RS10480,78,92,110,86,52,92,78,57,114
gene-ACX60_RS10485,262,310,329,310,316,343,314,269,303
gene-ACX60_RS10490,865,1322,1653,1067,1083,1357,795,961,1003
gene-ACX60_RS10495,391,536,647,356,377,471,324,373,370
gene-ACX60_RS10500,10168,14962,16230,14494,14517,16850,11434,13359,14557
gene-ACX60_RS10505,6296,10029,8725,10901,10915,10956,9893,11465,10729
gene-ACX60_RS19780,82,102,100,85,53,104,88,81,91
gene-ACX60_RS10515,20,50,41,22,7,34,43,22,46
gene-ACX60_RS10520,1552,2894,3009,1911,1755,1769,1966,2219,2324
gene-ACX60_RS10525,442,654,658,577,538,580,283,356,379
gene-ACX60_RS10530,180,297,314,237,146,249,258,234,275
gene-ACX60_RS10535,232,349,327,200,233,247,239,255,336
gene-ACX60_RS10540,698,933,1038,849,869,958,931,925,1060
gene-ACX60_RS10545,324,450,462,425,430,398,431,412,582
gene-ACX60_RS10550,348,504,574,517,379,585,502,458,534
gene-ACX60_RS10555,3650,5829,5852,6198,5639,6837,7829,8591,8628
gene-ACX60_RS10560,1,14,10,8,12,8,14,23,22
gene-ACX60_RS10565,2,9,17,11,5,15,16,20,18
gene-ACX60_RS10570,75,90,151,47,33,86,124,181,130
gene-ACX60_RS10575,23,64,88,57,42,69,117,179,149
gene-ACX60_RS10580,98,177,223,161,102,201,174,215,248
gene-ACX60_RS10585,293,438,539,386,214,466,528,527,650
gene-ACX60_RS10590,0,1,2,0,0,1,2,0,0
gene-ACX60_RS10595,92,104,155,110,104,170,109,74,117
gene-ACX60_RS10600,699,1046,1199,455,352,572,420,290,309
gene-ACX60_RS10605,48,87,105,28,30,36,34,30,35
gene-ACX60_RS10610,121,179,224,158,142,181,249,235,259
gene-ACX60_RS10615,263,443,709,414,295,514,554,532,437
gene-ACX60_RS10620,46,84,96,50,48,62,54,82,68
gene-ACX60_RS10625,19,28,62,8,12,24,30,27,50
gene-ACX60_RS10630,1,4,2,0,2,4,3,3,9
gene-ACX60_RS10635,96,100,140,74,43,82,115,76,145
gene-ACX60_RS10640,18,24,90,25,13,47,64,58,71
gene-ACX60_RS10645,139,261,251,174,215,196,117,185,159
gene-ACX60_RS10650,1398,2457,3097,2817,2650,3284,2670,3094,2932
gene-ACX60_RS10655,103,219,271,269,225,319,285,173,262
gene-ACX60_RS10660,58,66,92,46,67,58,62,48,80
gene-ACX60_RS10665,357,594,655,349,353,451,358,367,380
gene-ACX60_RS10670,259,440,439,293,243,311,351,368,384
gene-ACX60_RS10675,459,749,578,396,430,399,532,636,597
gene-ACX60_RS10680,565,1126,1170,550,483,571,678,579,881
gene-ACX60_RS10685,494,792,978,540,560,684,959,990,1026
gene-ACX60_RS10690,175,221,239,202,206,134,174,189,197
gene-ACX60_RS10695,211,328,333,202,258,233,169,241,250
gene-ACX60_RS10700,146,204,216,189,190,169,117,176,182
gene-ACX60_RS10705,79,150,176,133,114,140,136,142,157
gene-ACX60_RS10710,106,137,164,134,142,165,90,115,152
gene-ACX60_RS10715,133,220,276,211,183,251,157,183,213
gene-ACX60_RS10720,99,155,132,144,110,124,89,83,140
gene-ACX60_RS10725,3363,5270,5636,4670,4555,5709,3283,3708,4039
gene-ACX60_RS10730,30,68,51,62,41,69,74,61,54
gene-ACX60_RS10735,23,68,88,61,48,40,52,72,66
gene-ACX60_RS10740,94,131,156,46,60,89,59,40,58
gene-ACX60_RS10745,79,106,171,111,71,124,82,105,98
gene-ACX60_RS10750,345,428,458,356,360,373,449,459,444
gene-ACX60_RS10755,134,146,185,157,167,158,178,139,258
gene-ACX60_RS10760,230,351,545,160,115,302,225,228,274
gene-ACX60_RS10765,2438,3227,3427,2260,2445,2462,2364,2427,2967
gene-ACX60_RS10770,3149,4439,4555,3543,3970,3735,3390,3625,4271
gene-ACX60_RS10775,2733,3915,3829,3722,4035,3593,2785,3201,3622
gene-ACX60_RS10780,12,32,26,35,11,21,22,12,22
gene-ACX60_RS10785,164,319,268,312,305,283,216,214,240
gene-ACX60_RS10790,134,336,369,166,224,227,136,157,187
gene-ACX60_RS10795,167,238,244,141,132,180,79,81,118
gene-ACX60_RS10800,920,1522,1528,1281,1414,1416,882,1105,1131
gene-ACX60_RS10805,301,422,420,214,188,266,322,278,274
gene-ACX60_RS10810,1708,2395,2947,2197,1716,2747,3239,3280,3138
gene-ACX60_RS10815,6004,8694,8934,8420,8124,8737,8791,8684,10100
gene-ACX60_RS10820,1430,2234,2395,2055,1909,2350,1865,2081,2468
gene-ACX60_RS10825,2214,2871,3069,2270,2061,2642,2003,2148,2510
gene-ACX60_RS10830,6479,9274,10928,9468,8830,11686,6816,8223,8564
gene-ACX60_RS10835,365,566,622,472,418,567,434,458,498
gene-ACX60_RS10840,1064,1652,1455,1282,1314,1332,1222,1401,1742
gene-ACX60_RS10845,32,14,18,24,34,32,22,15,43
gene-ACX60_RS10850,27,38,34,31,33,25,42,41,56
